titile,description,price,years,image,vin.
"Land Rover Defender, 2.5 l., visureigis","Equipment:* Stereo USB radio + 4 speakers* Sunroof* Genuine mats in the front* Genuine mats in the rear* Rubber matt in the trunk* Rear mudd flaps* Genuine extra High Beams", 13 499 €, 2000, https://autoplius-img.dgn.lt/ann_25_216831720/land-rover-defender-2-5-l-visureigis-2000-dyzelinas-0.jpg, SALLDHM88YA192561.
"Volvo S40, 1.6 l., sedanas" "Tik praeita TA. Prieš TA pakeista: 3 guoliai, priekiniai stabdžiu diskai, galiniai amortizatoriai, priekinės traukės ir papildomos smulkmenos važiuoklėje. Tikra rida. Lietuvoje nuo 2018.", 2 400 €, 2005, https://autoplius-img.dgn.lt/ann_25_216847636/volvo-s40-1-6-l-sedanas-2005-dyzelinas-0.jpg,
"Volvo S40, 2.4 l., sedanas" "Iš Vokietijos,originali dujų įranga,vebasta.Puikiai dirba tiek dujomis tiek benzinu"; 2 900 €; 2008; https://autoplius-img.dgn.lt/ann_25_207599750/volvo-s40-2-4-l-sedanas-2008-benzinas-dujos-0.jpg,
"Volkswagen Golf,2.0 l.,hečbekas" "Automobilis geros bukles.tikra rida servizo istorija"; 3 750 €; 2005; https://autoplius-img.dgn.lt/ann_25_216724598/volkswagen-golf-2-0-l-hecbekas-2005-dyzelinas-0.jpg.
"Jaguar F-Pace, 3.0 l., visureigis" "-" 35 000 €; 2018; https://autoplius-img.dgn.lt/ann_25_177254369/jaguar-f-pace-3-0-l-visureigis-2018-benzinas-0.jpg; SADCM2FV6JA245367.
"Jaguar F-Pace, 3.0 l., visureigis" "-" ; 25 500 €; 2017; https://autoplius-img.dgn.lt/ann_25_197161087/jaguar-f-pace-3-0-l-visureigis-2017-benzinas-0.jpg; SADCJ2BVXHA067214.
"Peugeot Partner Benzinas 2011 m Vienatūris" "Užsisakykite automobilį neišeidami iš namų! Pristatymas į bet kurį Lietuvos ar Latvijos tašką kainuoja 100 EUR ir užtrunka iki 2–4 ​​darbo dienų"; 3 999 €; 2011; https://img.autogidas.lt/4_15_213084382/peugeot-partner-vienaturis-2011.jpg; VF37J5FS0BJ757952.
"Peugeot 206 Benzinas 2003 m Hečbekas" "Užsisakykite automobilį neišeidami iš namų! Pristatymas į bet kurį Lietuvos ar Latvijos tašką kainuoja 100 EUR ir užtrunka iki 2–4 ​​darbo dienų."; 799 €; 2003; https://img.autogidas.lt/4_15_211984885/peugeot-206-hecbekas-2003.jpg; VF32AKFWF42968601.
"Bmw X3 E83 sport paket Dyzelinas 2007 m" "Sport paket Iš Vokietijos Tikra rida Galiojanti Vokiška Techninė apžiūra iki 2022 m 08 mėn."; 6 400 €; 2007; https://img.autogidas.lt/4_15_212505589/bmw-x3-e83-sport-paket-visureigis-2007.jpg; CPHHRNKF.
"Toyota Prius 2007 m nuoma","-",10 €,2007,https://img.autogidas.lt/4_15_189787879/toyota-prius-hecbekas-2007.jpg,"-"








